aaa: aaa://host.example.com
aaas: aaas://host.example.com (secure version of aaa)
about: about:blank
acap: acap://host.example.com/resource
acct: acct:user@domain.com
acr: acr:user@example.com
adiumxtra: adiumxtra://plugin.example.com/resource
afp: afp://user@host.example.com/share
afs: afs://cell.example.com/path/to/file
aim: aim:goim?screenname=exampleuser
apt: apt:package-name
attachment: attachment://document.pdf
aw: aw://host.example.com/resource
amss: amss://radio.example.com/stream
barion: barion://pay?order=12345
beshare: beshare://server.example.com/share
bitcoin: bitcoin:1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa
blob: blob:https://example.com/550e8400-e29b-41d4-a716-446655440000
bolo: bolo://game.example.com
callto: callto:+1234567890
cap: cap://host.example.com/calendar
chrome: chrome://settings
chrome-extension: chrome-extension://abcdefg123456/options.html
com-eventbrite-attendee: com-eventbrite-attendee://event/123456789
cid: cid:unique-id@example.com
coap: coap://host.example.com/resource
coaps: coaps://host.example.com/resource (secure CoAP)
content: content://com.example.provider/data
cvs: cvs://user@host.example.com/repo
dab: dab://broadcast.example.com/channel
data: data:text/plain;base64,SGVsbG8gV29ybGQ=
dav: dav://host.example.com/path
dict: dict://dict.example.com/word
dlna-playsingle: dlna-playsingle://device.example.com/media
dlna-playcontainer: dlna-playcontainer://device.example.com/container
dns: dns://resolver.example.com/example.com
dntp: dntp://host.example.com/resource
doi: doi:10.1000/xyz123
drm: drm://content.example.com/protected
dtn: dtn://node.example.com/bundle
ed2k: ed2k://|file|example.zip|123456|hashvalue|
example: example://host.example.com
facetime: facetime://user@example.com
fax: fax:+1234567890
feed: feed://example.com/rss.xml
file: file:///path/to/file.txt
filesystem: filesystem:http://example.com/path/to/file
finger: finger://user@host.example.com
fish: fish://user@host.example.com
fm: fm://radio.example.com/station
ftp: ftp://user@host.example.com/file.txt
gemini: gemini://gemini.example.com/page
geo: geo:37.7749,-122.4194
gg: gg:user@example.com
git: git://host.example.com/repo.git
gizmoproject: gizmoproject://call/user
go: go://package.example.com
gopher: gopher://gopher.example.com/1/resource
gtalk: gtalk:chat?jid=user@example.com
h323: h323:user@host.example.com
hcp: hcp://system.example.com/config
http: http://example.com
https: https://example.com
iax: iax:user@host.example.com
icap: icap://host.example.com/service
icon: icon://resource.example.com/icon
im: im:user@host.example.com
imap: imap://user@host.example.com
info: info:example/resource
iotdisco: iotdisco://device.example.com
ipn: ipn://node.example.com
ipp: ipp://printer.example.com
ipps: ipps://printer.example.com (secure IPP)
irc: irc://irc.example.com/channel
irc6: irc6://irc.example.com/channel
ircs: ircs://irc.example.com/channel (secure IRC)
iris: iris://host.example.com/service
iris.beep: iris.beep://host.example.com
iris.xpc: iris.xpc://host.example.com
iris.xpcs: iris.xpcs://host.example.com (secure)
iris.lws: iris.lws://host.example.com
itms: itms://itunes.example.com/app
jabber: jabber:user@host.example.com
jar: jar:http://example.com/app.jar!/file
jms: jms://host.example.com/queue
keyparc: keyparc://host.example.com/key
lastfm: lastfm://artist/example
ldap: ldap://ldap.example.com/dc=example,dc=com
ldaps: ldaps://ldap.example.com/dc=example,dc=com (secure LDAP)
magnet: magnet:?xt=urn:btih:hashvalue
mailserver: mailserver://mx.example.com
mailto: mailto:user@example.com
maps: maps://maps.example.com?q=location
market: market://details?id=com.example.app
message: message://user@example.com
mid: mid:unique-id@example.com
mms: mms://media.example.com/stream
modem: modem:+1234567890
ms-help: ms-help://topic/example
ms-settings: ms-settings:privacy
ms-settings-airplanemode: ms-settings-airplanemode:
ms-settings-bluetooth: ms-settings-bluetooth:
ms-settings-camera: ms-settings-camera:
ms-settings-cellular: ms-settings-cellular:
ms-settings-cloudstorage: ms-settings-cloudstorage:
ms-settings-emailandaccounts: ms-settings-emailandaccounts:
ms-settings-language: ms-settings-language:
ms-settings-location: ms-settings-location:
ms-settings-lock: ms-settings-lock:
ms-settings-nfctransactions: ms-settings-nfctransactions:
ms-settings-notifications: ms-settings-notifications:
ms-settings-power: ms-settings-power:
ms-settings-privacy: ms-settings-privacy:
ms-settings-proximity: ms-settings-proximity:
ms-settings-screenrotation: ms-settings-screenrotation:
ms-settings-wifi: ms-settings-wifi:
ms-settings-workplace: ms-settings-workplace:
msnim: msnim:chat?contact=user@example.com
msrp: msrp://host.example.com/session
msrps: msrps://host.example.com/session (secure MSRP)
mtqp: mtqp://host.example.com/queue
mumble: mumble://server.example.com
mupdate: mupdate://host.example.com
mvn: mvn://repo.example.com/artifact
news: news:comp.example.group
nfs: nfs://host.example.com/path
ni: ni:///sha-256;hashvalue
nih: nih:///sha-256;hashvalue
nntp: nntp://news.example.com/group
notes: notes://server.example.com/note
oid: oid:1.2.3.4
opaquelocktoken: opaquelocktoken:uuid:12345678-1234-1234-1234-1234567890ab
openpgp4fpr: openpgp4fpr:1234567890ABCDEF1234567890ABCDEF12345678
pack: pack://application,,,/resource
palm: palm://app.example.com
paparazzi: paparazzi://capture.example.com
payto: payto://iban/DE89370400440532013000
pkcs11: pkcs11:token=example;object=key
platform: platform://app.example.com
pop: pop://user@host.example.com
pres: pres:user@host.example.com
prospero: prospero://host.example.com/resource
proxy: proxy://host.example.com
psyc: psyc://psyc.example.com/user
query: query://search.example.com?q=test
redis: redis://host.example.com:6379
rediss: rediss://host.example.com:6379 (secure Redis)
reload: reload://host.example.com/resource
res: res://resource.example.com/id
resource: resource://app.example.com/data
rmi: rmi://host.example.com/service
rsync: rsync://user@host.example.com/path
rtmfp: rtmfp://host.example.com/stream
rtmp: rtmp://host.example.com/stream
rtsp: rtsp://media.example.com/video
secondlife: secondlife://region/x/y/z
service: service://host.example.com/type
session: session://host.example.com/id
sftp: sftp://user@host.example.com/path
sgn: sgn://sign.example.com
shc: shc://health.example.com/code
shttp: shttp://example.com
sieve: sieve://host.example.com/script
sip: sip:user@host.example.com
sips: sips:user@host.example.com (secure SIP)
skype: skype:user?call
smb: smb://host.example.com/share
sms: sms:+1234567890
snews: snews://news.example.com/group
snmp: snmp://host.example.com
soap.beep: soap.beep://host.example.com
soap.beeps: soap.beeps://host.example.com (secure)
soldat: soldat://server.example.com
spotify: spotify:track:1234567890abcdef
ssh: ssh://user@host.example.com
steam: steam://run/12345
stun: stun:stun.example.com:3478
stuns: stuns:stun.example.com:5349 (secure STUN)
svn: svn://host.example.com/repo
tag: tag:example.com,2025:item
teamspeak: teamspeak://server.example.com
tel: tel:+1234567890
telnet: telnet://host.example.com
tftp: tftp://host.example.com/file
things: things://task/example
thismessage: thismessage:/unique-id
tn3270: tn3270://host.example.com
tip: tip://transaction.example.com
turn: turn:turn.example.com:3478
turns: turns:turn.example.com:5349 (secure TURN)
tv: tv://channel.example.com
udp: udp://host.example.com:1234
unreal: unreal://server.example.com
urn: urn:uuid:12345678-1234-1234-1234-1234567890ab
ut2004: ut2004://server.example.com
vemmi: vemmi://host.example.com/service
ventrilo: ventrilo://server.example.com
videotex: videotex://host.example.com
view-source: view-source:http://example.com
vnc: vnc://host.example.com:5900
wais: wais://wais.example.com/database
webcal: webcal://calendar.example.com/events
ws: ws://host.example.com/socket
wss: wss://host.example.com/socket (secure WebSocket)
wtai: wtai://wp/mc;+1234567890
wyciwyg: wyciwyg://document.example.com
xcon: xcon:conference@example.com
xcon-userid: xcon-userid:user@example.com
xfire: xfire://chat/user
xmlrpc.beep: xmlrpc.beep://host.example.com
xmlrpc.beeps: xmlrpc.beeps://host.example.com (secure)
xmpp: xmpp:user@host.example.com
xri: xri://@example/resource
ymsgr: ymsgr:sendim?user
z39.50: z39.50://host.example.com/database
z39.50r: z39.50r://host.example.com/database
z39.50s: z39.50s://host.example.com/database (secure)
admin: admin://system.example.com
app: app://com.example.app
javascript: javascript:alert('example')
jdbc: jdbc:mysql://host.example.com/db
odbc: odbc:dsn=example
stratum: stratum://host.example.com:3333
web+: web+custom://example.com
php: php://filter/read=string.toupper/resource=example.txt
zip: zip://archive.zip#file.txt
gzip: gzip://file.gz
zlib: zlib://file.zlib
glob: glob://pattern/example
phar: phar://archive.phar/file.php
ssh2: ssh2://user@host.example.com/path
rar: rar://archive.rar#file.txt
ogg: ogg://media.example.com/stream
expect: expect://script.example.com
